Drill Listing
=============
Drill: .01968  Tool: 1  Feed: 95  Speed: 300
X 131000  Y 119500
X 138500  Y 103000
X 148000  Y 106500
X 156500  Y 106500
X 159500  Y 120500
X 169500  Y 127500
X 171000  Y 120500
X 179500  Y 105500
X 187500  Y 103500
X 200500  Y 127000
X 207500  Y 110000
X 211000  Y 118000
X 210000  Y 146500
X 210000  Y 151500
X 184500  Y 137500
X 168000  Y 147000
X 155000  Y 149000
X 126500  Y 145500
X 122000  Y 156500
X 154500  Y 164500
X 177500  Y 167500
X 184000  Y 161500
X 201000  Y 174000
X 201500  Y 155000
X 203500  Y 169500
X 208000  Y 169500
X 214000  Y 168000
X 221000  Y 172000
X 221000  Y 177000
X 203000  Y 201000
X 198500  Y 201000
X 194000  Y 201000
X 181000  Y 201000
X 181000  Y 189500
X 176000  Y 187500
X 175500  Y 194000
X 106000  Y 187000
X 175000  Y 207500
X 175000  Y 212500
X 175000  Y 217500
X 199000  Y 216500
X 204500  Y 216500
X 221000  Y 214000

Drill: .0315  Tool: 2  Feed: 197  Speed: 550
X 115500  Y 122500
X 115500  Y 112500
X 148543  Y 182578
X 148543  Y 192421
X 140670  Y 192421
X 140670  Y 182578

Drill: .03938  Tool: 3  Feed: 197  Speed: 550
X 120000  Y 105000
X 230000  Y 115000
X 230000  Y 126751
X 230000  Y 150373
X 230000  Y 142500
X 230000  Y 134626
X 230000  Y 158248
X 230000  Y 178188
X 230000  Y 201811
X 230000  Y 193936
X 230000  Y 186063
X 147500  Y 217500

Drill: .04331  Tool: 4  Feed: 139  Speed: 550
X 107941  Y 130550
X 115815  Y 149450
X 135500  Y 130550

Drill: .09057  Tool: 5  Feed: 66  Speed: 550
X 130000  Y 163800
X 130000  Y 211200

End of Listing
